Kantonsratswahlen ZH 2019;KR;AL;BDP;CVP;die Guten;EDU;EVP;FDP;GLP;Gruene;Helvida;PdA;SP;SVP
1 Stadt Zuerich, Kreis 1+2;5;2416;0;1733;0;234;595;7360;5902;7844;0;204;10910;5662
2 Stadt Zuerich, Kreis 3+9;12;19009;844;9960;3120;579;5633;23592;28663;40514;0;1639;70295;33512
3 Stadt Zuerich, Kreis 4+5;5;6716;0;605;0;132;332;3544;6298;7648;0;560;13484;2806
4 Stadt Zuerich, Kreis 6+10;9;13611;1304;4593;0;527;3210;23745;23529;28051;107;883;47596;19416
5 Stadt Zuerich, Kreis 7+8;6;3497;0;3841;0;254;1761;19624;11897;12358;0;326;18531;10255
6 Stadt Zuerich, Kreis 11+12;12;8129;1726;7495;0;2007;7270;19779;22934;25102;0;1057;48742;34595
7 Bezirk Dietikon;11;2059;2282;11792;0;1912;4696;25055;17993;8943;0;0;26964;42481
8 Bezirk Affoltern;6;645;632;2046;0;1666;6198;10929;10265;7841;0;0;12885;19265
9 Bezirk Horgen;15;5358;6190;27867;0;5201;17095;80180;44371;38102;0;0;62623;90998
10 Bezirk Meilen;12;3387;3277;13575;0;5799;7707;78979;41532;28743;0;0;44284;84129
11 Bezirk Hinwil;11;3348;4494;12702;0;13508;12406;29178;21841;26285;0;0;27743;65778
12 Bezirk Uster;16;6346;13232;19030;0;9538;13213;58214;58620;41076;0;0;66288;104683
13 Bezirk Pfaeffikon;7;1142;1960;2560;0;4628;9014;13278;10930;9147;0;0;13278;29795
14 Stadt Winterthur;13;12915;5219;12248;0;5837;17964;34703;47208;49152;0;0;78239;60891
15 Winterthur-Land;7;638;1377;2963;0;2685;7823;13911;13606;9274;0;0;11390;34466
16 Bezirk Andelfingen;4;348;1573;546;0;915;1500;5329;2891;3289;0;0;4796;12437
17 Bezirk Buelach;18;5680;9707;15590;0;16807;22574;70138;53964;35950;0;0;69786;140138
18 Bezirk Dielsdorf;11;1387;2767;5866;0;8512;4442;21372;19054;14529;0;0;21420;64859
