Kantonsratswahlen ZH 2023;3;AL;AuFL;Die Mitte;EDU;EVP;FDP;GLP;Gruene;PdA;SaPaPo;SP;Stopp;SVP
Zuerich 1+2;5;2416;;1733;234;595;7360;5902;7844;;0;10910;0;5662
Zuerich 3+9;12;19009;;9960;579;5633;23592;28663;40514;;;70295;0;33512
Zuerich 4+5;5;6716;;605;132;332;3544;6298;7648;;0;13484;0;2806
Zuerich 6+10;8;13611;;4593;527;3210;23745;23529;28051;;0;47596;0;19416
Zuerich 7+8;6;3497;;3841;254;1761;19624;11897;12358;;0;18531;0;10255
Zuerich 11+12;12;8129;;7495;2007;7270;19779;22934;25102;;0;48742;0;34595
Bezirk Dietikon;11;2059;;11792;1912;4696;25055;17993;8943;0;0;26964;;42481
Bezirk Affoltern;7;645;;2046;1666;6198;10929;10265;7841;0;0;12885;0;19265
Bezirk Horgen;15;5358;;27867;5201;17095;80180;44371;38102;0;0;62623;0;90998
Bezirk Meilen;12;3387;;13575;5799;7707;78979;41532;28743;0;0;44284;0;84129
Bezirk Hinwil;11;3348;;12702;13508;12406;29178;21841;26285;0;0;27743;0;65778
Bezirk Uster;16;6346;;19030;9538;13213;58214;58620;41076;0;0;66288;0;104683
Bezirk Pfaeffikon;7;1142;;2560;4628;9014;13278;10930;9147;0;0;13278;0;29795
Stadt Winterthur;13;12915;;12248;5837;17964;34703;47208;49152;0;0;78239;0;60891
Winterthur-Land;7;638;;2963;2685;7823;13911;13606;9274;0;0;11390;0;34466
Bezirk Andelfingen;4;348;;546;915;1500;5329;2891;3289;0;0;4796;0;12437
Bezirk Buelach;18;5680;;15590;16807;22574;70138;53964;35950;0;0;69786;0;140138
Bezirk Dielsdorf;11;1387;;5866;8512;4442;21372;19054;14529;0;0;21420;0;64859
